Date,Day,Weekend,Holiday,Exam_Week,Students_Present,Temperature_C,Item,Actual_Demand,Prepared,Sold,Waste,Waste_Percentage,Price
2024-01-01,Monday,False,False,False,974,24.7,Samosa,137,188,135,53,28.19,12
2024-01-01,Monday,False,False,False,974,24.7,Vada Pav,100,138,103,35,25.36,15
2024-01-01,Monday,False,False,False,974,24.7,Sandwich,87,107,84,23,21.5,40
2024-01-01,Monday,False,False,False,974,24.7,Tea,156,185,141,44,23.78,8
2024-01-01,Monday,False,False,False,974,24.7,Coffee,101,107,95,12,11.21,15
2024-01-01,Monday,False,False,False,974,24.7,Cold Drink,98,99,91,8,8.08,20
2024-01-01,Monday,False,False,False,974,24.7,Veg Puff,92,102,92,10,9.8,18
2024-01-01,Monday,False,False,False,974,24.7,Maggi,61,65,61,4,6.15,30
2024-01-02,Tuesday,False,False,False,727,25.8,Samosa,89,98,86,12,12.24,12
2024-01-02,Tuesday,False,False,False,727,25.8,Vada Pav,94,107,89,18,16.82,15
2024-01-02,Tuesday,False,False,False,727,25.8,Sandwich,75,72,72,0,0.0,40
2024-01-02,Tuesday,False,False,False,727,25.8,Tea,89,84,84,0,0.0,8
2024-01-02,Tuesday,False,False,False,727,25.8,Coffee,94,110,93,17,15.45,15
2024-01-02,Tuesday,False,False,False,727,25.8,Cold Drink,72,66,66,0,0.0,20
2024-01-02,Tuesday,False,False,False,727,25.8,Veg Puff,57,74,57,17,22.97,18
2024-01-02,Tuesday,False,False,False,727,25.8,Maggi,41,49,40,9,18.37,30
2024-01-03,Wednesday,False,False,False,798,26.2,Samosa,118,152,113,39,25.66,12
2024-01-03,Wednesday,False,False,False,798,26.2,Vada Pav,81,97,84,13,13.4,15
2024-01-03,Wednesday,False,False,False,798,26.2,Sandwich,71,79,67,12,15.19,40
2024-01-03,Wednesday,False,False,False,798,26.2,Tea,110,139,117,22,15.83,8
2024-01-03,Wednesday,False,False,False,798,26.2,Coffee,93,120,94,26,21.67,15
2024-01-03,Wednesday,False,False,False,798,26.2,Cold Drink,78,93,83,10,10.75,20
2024-01-03,Wednesday,False,False,False,798,26.2,Veg Puff,66,91,57,34,37.36,18
2024-01-03,Wednesday,False,False,False,798,26.2,Maggi,62,72,61,11,15.28,30
2024-01-04,Thursday,False,False,False,913,21.0,Samosa,119,143,127,16,11.19,12
2024-01-04,Thursday,False,False,False,913,21.0,Vada Pav,91,93,88,5,5.38,15
2024-01-04,Thursday,False,False,False,913,21.0,Sandwich,94,112,91,21,18.75,40
2024-01-04,Thursday,False,False,False,913,21.0,Tea,178,207,186,21,10.14,8
2024-01-04,Thursday,False,False,False,913,21.0,Coffee,117,128,114,14,10.94,15
2024-01-04,Thursday,False,False,False,913,21.0,Cold Drink,59,70,59,11,15.71,20
2024-01-04,Thursday,False,False,False,913,21.0,Veg Puff,76,84,70,14,16.67,18
2024-01-04,Thursday,False,False,False,913,21.0,Maggi,63,69,60,9,13.04,30
2024-01-05,Friday,False,False,False,875,25.8,Samosa,139,163,140,23,14.11,12
2024-01-05,Friday,False,False,False,875,25.8,Vada Pav,91,78,78,0,0.0,15
2024-01-05,Friday,False,False,False,875,25.8,Sandwich,83,126,82,44,34.92,40
2024-01-05,Friday,False,False,False,875,25.8,Tea,146,167,137,30,17.96,8
2024-01-05,Friday,False,False,False,875,25.8,Coffee,116,146,120,26,17.81,15
2024-01-05,Friday,False,False,False,875,25.8,Cold Drink,82,111,76,35,31.53,20
2024-01-05,Friday,False,False,False,875,25.8,Veg Puff,77,113,73,40,35.4,18
2024-01-05,Friday,False,False,False,875,25.8,Maggi,59,68,57,11,16.18,30
2024-01-06,Saturday,True,False,False,422,25.1,Samosa,26,31,24,7,22.58,12
2024-01-06,Saturday,True,False,False,422,25.1,Vada Pav,45,46,44,2,4.35,15
2024-01-06,Saturday,True,False,False,422,25.1,Sandwich,34,32,32,0,0.0,40
2024-01-06,Saturday,True,False,False,422,25.1,Tea,68,61,61,0,0.0,8
2024-01-06,Saturday,True,False,False,422,25.1,Coffee,38,48,35,13,27.08,15
2024-01-06,Saturday,True,False,False,422,25.1,Cold Drink,17,20,17,3,15.0,20
2024-01-06,Saturday,True,False,False,422,25.1,Veg Puff,26,31,25,6,19.35,18
2024-01-06,Saturday,True,False,False,422,25.1,Maggi,22,26,21,5,19.23,30
2024-01-07,Sunday,True,False,False,593,25.9,Samosa,41,51,39,12,23.53,12
2024-01-07,Sunday,True,False,False,593,25.9,Vada Pav,51,67,48,19,28.36,15
2024-01-07,Sunday,True,False,False,593,25.9,Sandwich,47,56,48,8,14.29,40
2024-01-07,Sunday,True,False,False,593,25.9,Tea,95,105,91,14,13.33,8
2024-01-07,Sunday,True,False,False,593,25.9,Coffee,39,40,38,2,5.0,15
2024-01-07,Sunday,True,False,False,593,25.9,Cold Drink,46,54,47,7,12.96,20
2024-01-07,Sunday,True,False,False,593,25.9,Veg Puff,34,46,33,13,28.26,18
2024-01-07,Sunday,True,False,False,593,25.9,Maggi,47,58,44,14,24.14,30
2024-01-08,Monday,False,False,False,739,26.0,Samosa,95,119,97,22,18.49,12
2024-01-08,Monday,False,False,False,739,26.0,Vada Pav,77,78,71,7,8.97,15
2024-01-08,Monday,False,False,False,739,26.0,Sandwich,65,83,65,18,21.69,40
2024-01-08,Monday,False,False,False,739,26.0,Tea,100,117,101,16,13.68,8
2024-01-08,Monday,False,False,False,739,26.0,Coffee,77,90,77,13,14.44,15
2024-01-08,Monday,False,False,False,739,26.0,Cold Drink,67,80,68,12,15.0,20
2024-01-08,Monday,False,False,False,739,26.0,Veg Puff,69,90,64,26,28.89,18
2024-01-08,Monday,False,False,False,739,26.0,Maggi,47,57,48,9,15.79,30
